url	download_complete
archive.ics.uci.edu/ml/machine-learning-databases/parkinsons/telemonitoring	complete
www.ics.uci.edu/prospective/vi/degrees/software-engineering	complete
archive.ics.uci.edu/ml/00262	incomplete
www.ics.uci.edu/faculty/area_biomed.php	complete
www.ics.uci.edu/computing/services/msoffice.php	complete
mailman.ics.uci.edu/mailman/listinfo/icsb-mjolsness-tutorial	complete
sli.ics.uci.edu/Classes-CS178-Notes/Classes-CS178-Notes	complete
www.ics.uci.edu/~thornton/ProjectGuide	complete
mailman.ics.uci.edu/mailman/admin/cypress	complete
archive.ics.uci.edu/ml/00385	complete
archive.ics.uci.edu/ml/00386	complete
archive.ics.uci.edu/ml/00387	complete
archive.ics.uci.edu/ml/00380	complete
archive.ics.uci.edu/ml/00381	complete
archive.ics.uci.edu/ml/00382	complete
archive.ics.uci.edu/ml/00383	complete
www.ics.uci.edu/~maheshmn/eCACTI/howto.htm	complete
archive.ics.uci.edu/ml/datasets/Sentiment+Labelled+Sentences	complete
archive.ics.uci.edu/ml/JapaneseVowels-mld	incomplete
tutors.ics.uci.edu/index.php/meet-the-tutors/9-uncategorised/127-spring-2017-tutors	incomplete
mailman.ics.uci.edu/mailman/listinfo/cypress	complete
mailman.ics.uci.edu/mailman/admin/ms.informatics	complete
archive.ics.uci.edu/ml/machine-learning-databases/coil-mld/coil.data.html	complete
www.ics.uci.edu/ugrad/index.php	complete
www.ics.uci.edu/~dvk/pub/SIGMODR04_dvk.html	complete
www.ics.uci.edu/community/events/openhouse/gallery_04.html	complete
archive.ics.uci.edu/ml/support/Census+Income	complete
www.ics.uci.edu/research/pose/index.html	complete
emj.ics.uci.edu/teaching	complete
sli.ics.uci.edu/Classes-2008F/Discussion	complete
www.ics.uci.edu/prospective/zh-tw/uci/bren-school	complete
www.ics.uci.edu/~stasio/Papers/jsy04-abs.html	complete
vision.ics.uci.edu/papers/GhiasiF_ECCV_2016	complete
www.ics.uci.edu/about/visit_fromLAX.php	complete
emj.ics.uci.edu/papers/vision-and-image-analysis-papers	complete
www.ics.uci.edu/%7Ewscacchi/Pubs-SF.html	complete
archive.ics.uci.edu/ml/machine-learning-databases/nsfawards.data.html	complete
archive.ics.uci.edu/ml/datasets/Bach+Choral+Harmony	complete
ngs.ics.uci.edu/entrepreneurship/current-companies	complete
www.ics.uci.edu/~bdonyana	complete
archive.ics.uci.edu/ml/machine-learning-databases/auslan2-mld	complete
mailman.ics.uci.edu/mailman/private/hanalab-admins	complete
archive.ics.uci.edu/ml/datasets/Smartphone+Dataset+for+Human+Activity+Recognition+%28HAR%29+in+Ambient+Assisted+Living+%28AAL%29	complete
isg.ics.uci.edu/events.html	complete
www.ics.uci.edu/community/events/openhouse/rfid.php	complete
www.ics.uci.edu/community/news/spotlight_studentshowcase.php	incomplete
vision.ics.uci.edu/people/12.html	complete
www.ics.uci.edu/policies/index.php	complete
www.ics.uci.edu/genealogy	complete
archive.ics.uci.edu/ml/machine-learning-databases/musk	complete
www.ics.uci.edu/~projects/research.htm	complete
cloudberry.ics.uci.edu/2016-08-15-Youtube	complete
archive.ics.uci.edu/ml/datasets/FMA%3A+A+Dataset+For+Music+Analysis	complete
www.ics.uci.edu/~kay/courses/us3/s18.html	incomplete
